,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,color
MIR4673,0.8261105232000581,-1.5657142633547156,0.43486604219061054,-3.600451889661303,0.0003176646056088815,0.012574180360732448,blue
FGFBP2,1.5690210623346041,-1.6022395209656966,0.3898033074313922,-4.110379492476986,3.950093892351582e-05,0.004285780505557185,blue
CARMN,6.447178280183683,-1.6113605032332525,0.3955529881009488,-4.073690634899258,4.6273940778888944e-05,0.004517224122456339,blue
TH,3.8028125085723214,-1.6306035092365214,0.32007049980573693,-5.0945135844327964,3.496377656091664e-07,0.00038052878637782574,blue
LINC01833,17.279210023223683,-1.6361698527796313,0.5207803154163051,-3.1417659315170123,0.001679322287657229,0.02859608547522342,blue
EXOC3L4,0.5700414793625553,-1.648475427886003,0.4693397261066227,-3.512328780605946,0.0004441981161432011,0.01540079096186536,blue
LTF,59.205045235932566,1.6552889094915697,0.5854066924989433,2.8275879498841867,0.004690013049755625,0.049748653024089734,red
NXF2,0.8798625111030084,-1.6630561053072048,0.4777260535202201,-3.4811919782323844,0.0004991875634700474,0.01620808052364166,blue
NXF2B,0.8798625111030084,-1.6630561053072048,0.4777260535202201,-3.4811919782323844,0.0004991875634700474,0.01620808052364166,blue
SIX3,13.383596296936751,-1.6671028986476863,0.4274950223583343,-3.8997013098559297,9.631143004353589e-05,0.006637969496421536,blue
LINC01235,10.83423259804365,1.670251462307947,0.4515293486837913,3.6990983358595235,0.00021636676432667704,0.010238263670416569,red
CALCB,2.5949271313217395,-1.6755337738609724,0.32162021596520546,-5.209665595281612,1.8918129400931404e-07,0.00032467563936869917,blue
SPTA1,0.5067685791292145,-1.6764260611367214,0.5588922332911224,-2.999551543711442,0.0027037737188144464,0.036681858352317735,blue
RPL29P2,0.7107683237830277,-1.711168085680746,0.4888026566578845,-3.500734012741672,0.00046397868197010624,0.015737131258911415,blue
WTAPP1,0.754972521091704,-1.7157903153360132,0.4670778562721745,-3.6734567744872755,0.00023929117201687146,0.010827587551882054,blue
HBD,0.8332094433976394,-1.7161308217877036,0.5207709749024472,-3.29536572599726,0.0009829366472478888,0.021786917733786923,blue
LOC100288162,5.684291485800995,-1.7186865028145106,0.5652061947854933,-3.0408132795975202,0.0023594009791806096,0.03370352397548901,blue
IL6,8.649075406665885,-1.731782245358088,0.4083196044319126,-4.24124197457402,2.22286331311033e-05,0.0033380460515063685,blue
ZNF645,0.9849455809503606,-1.74651894046359,0.44756521416100936,-3.9022669439079514,9.529597697223066e-05,0.006598491177843764,blue
LGALS17A,0.8033073484155807,-1.7591873549809651,0.5082910300368683,-3.4609844577689377,0.0005382038836205328,0.016625291993506406,blue
IL1B,55.77900211529838,-1.760516578624182,0.3970655711798988,-4.4338182567496975,9.257867724063777e-06,0.0021595998816124305,blue
CDHR4,0.4884982141360715,-1.8136326627746848,0.5184749355515271,-3.498014153462279,0.000468736256802106,0.015741855255755156,blue
LGALS13,0.8127734242034937,-1.8261378469063523,0.5278650239158441,-3.4594787761454104,0.0005412219285368871,0.016625291993506406,blue
LARGE2,0.4131691829562733,-1.82789847949065,0.5859143956864815,-3.1197364204526985,0.0018101293452197772,0.02971503712194365,blue
KIAA0087,0.7466221249883677,-1.8289525223173384,0.5055146670863644,-3.618000903631293,0.000296887360214681,0.011980844214013384,blue
DLX4,4.40112121865812,-1.8938213330718885,0.41011817382535337,-4.617745454699996,3.8793169250110594e-06,0.0013221852207792927,blue
LILRA3,0.9517697119140219,-1.8990892233382035,0.532130897046023,-3.5688384829380704,0.00035856738572782507,0.013473943345233214,blue
NKX2-4,2.0787486229452212,-1.9295238006755862,0.481231879962339,-4.009551073022406,6.083429450588527e-05,0.005184607160198356,blue
LOC101928932,1.2747480476348978,-1.9577562591590996,0.5121946736426649,-3.822289375318529,0.00013221839992793246,0.00784397900016897,blue
TREML2,1.1691438956637399,-1.9813176437773174,0.4979759256767493,-3.978741825891898,6.928092141498264e-05,0.005551757908861976,blue
CHI3L2,182.12511077645743,2.0122566731463145,0.550393236904694,3.656034518997472,0.0002561468781386425,0.011210275120286271,red
ANKRD20A9P,12.357415105174049,-2.019903960267063,0.26652270852696686,-7.578731176156754,3.489506868171929e-14,8.384238152156693e-10,blue
LOC100506358,0.878491208629016,-2.023682494660322,0.5401131375649133,-3.74677517340912,0.00017912249246489502,0.009295412800116701,blue
MYBPH,5.915803642534019,-2.0349016701790914,0.42512710164494766,-4.7865724445828794,1.6965371822903237e-06,0.0008492228933102002,blue
RNF17,10.354845468488017,2.072386112712493,0.6387836438389308,3.244269218068841,0.0011775239430003846,0.023936013348959593,red
NKX2-1-AS1,0.9214788067834179,-2.0868164196714227,0.43473391808450146,-4.800215333706255,1.5849511828945403e-06,0.0008346303765423463,blue
CASR,0.6513919830769067,-2.1564977545696014,0.528010979058568,-4.084191124992495,4.423061585007409e-05,0.0044465334986455145,blue
LINC00417,0.8542745977293474,-2.170781565178208,0.5194519166141321,-4.178984610024538,2.9281349757698498e-05,0.0036906479807912876,blue
CXCL11,3.7651854385833166,-2.256561486886977,0.4486434825760199,-5.029743158042235,4.911372910295894e-07,0.0004041293483002956,blue
CCL20,0.9101019476165179,-2.3071371018708455,0.5523931638331014,-4.176621386588915,2.958708840325263e-05,0.0036906479807912876,blue
SPATA31A5,0.5890981948013901,-2.3578308123726073,0.5669135975556002,-4.159065548152358,3.195521963410735e-05,0.003811965606046384,blue
SPATA31A7,0.5890981948013901,-2.3578308123726073,0.5669135975556002,-4.159065548152358,3.195521963410735e-05,0.003811965606046384,blue
CSF3,5.875627230977005,-2.8369767234628633,0.5825292615643242,-4.870101659519121,1.1154084741023654e-06,0.000719883879271636,blue
CCL8,1.0944563280324802,-3.0873925496114456,0.555548009624275,-5.557382073422409,2.738508798808718e-08,0.00013159630181795414,blue
MAPK8IP1P2,45.719131283813866,4.5621591492950575,0.6823602412502286,6.685851363403318,2.2958596091973118e-11,2.7581309415091907e-07,red
